customer_id,monthly_charges,churn_probability,actual_churn,risk_level,value_level,segment
C0039,81.82,0.5280027943822063,Yes,Medium Risk,High Value,Medium Risk / High Value
C0040,57.06,0.7367218255310336,Yes,High Risk,Low Value,High Risk / Low Value
C0041,69.26,0.6347060673924038,Yes,High Risk,Low Value,High Risk / Low Value
C0042,28.29,0.4326946329625746,No,Medium Risk,Low Value,Medium Risk / Low Value
C0043,116.93,0.5588235656450441,No,Medium Risk,High Value,Medium Risk / High Value
C0044,65.57,0.1879561046332397,No,Low Risk,Low Value,Low Risk / Low Value
C0045,73.61,0.6428447792921894,No,High Risk,High Value,High Risk / High Value
C0046,113.27,0.4667930635504232,No,Medium Risk,High Value,Medium Risk / High Value
C0047,103.83,0.23118320072729195,No,Low Risk,High Value,Low Risk / High Value
C0048,114.48,0.4230658463856115,No,Medium Risk,High Value,Medium Risk / High Value
C0049,31.36,0.7365757785781881,No,High Risk,Low Value,High Risk / Low Value
C0050,22.88,0.807027254647697,Yes,High Risk,Low Value,High Risk / Low Value
C0051,54.83,0.10760301841815062,No,Low Risk,Low Value,Low Risk / Low Value
C0052,65.91,0.5224452500631741,No,Medium Risk,Low Value,Medium Risk / Low Value
C0053,38.19,0.42575456496283437,No,Medium Risk,Low Value,Medium Risk / Low Value
C0054,28.87,0.504815004229186,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0055,112.09,0.14598416924068747,Yes,Low Risk,High Value,Low Risk / High Value
C0056,66.25,0.2959515674631676,No,Low Risk,Low Value,Low Risk / Low Value
C0057,44.25,0.35900511595478196,Yes,Low Risk,Low Value,Low Risk / Low Value
C0058,98.92,0.4070383373881411,No,Medium Risk,High Value,Medium Risk / High Value
C0059,77.08,0.5508703288644814,No,Medium Risk,High Value,Medium Risk / High Value
C0060,37.34,0.5398775292199145,No,Medium Risk,Low Value,Medium Risk / Low Value
C0061,69.07,0.5012570643035291,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0062,93.62,0.825675383264928,Yes,High Risk,High Value,High Risk / High Value
C0063,74.86,0.4030921935934005,Yes,Medium Risk,High Value,Medium Risk / High Value
C0064,112.95,0.5477209715449838,No,Medium Risk,High Value,Medium Risk / High Value
C0065,33.98,0.10780269775103056,No,Low Risk,Low Value,Low Risk / Low Value
C0066,101.66,0.45780114044461295,Yes,Medium Risk,High Value,Medium Risk / High Value
C0067,110.65,0.420717129848413,Yes,Medium Risk,High Value,Medium Risk / High Value
C0068,35.17,0.32836572152029825,No,Low Risk,Low Value,Low Risk / Low Value
C0069,104.65,0.5655353343634278,No,Medium Risk,High Value,Medium Risk / High Value
C0070,45.18,0.5518137363097464,No,Medium Risk,Low Value,Medium Risk / Low Value
C0071,45.6,0.5095127069647136,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0072,93.64,0.8241043618488183,Yes,High Risk,High Value,High Risk / High Value
C0073,79.13,0.2686848308840035,No,Low Risk,High Value,Low Risk / High Value
C0074,54.7,0.5527945733283466,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0075,78.06,0.6109261701651406,Yes,High Risk,High Value,High Risk / High Value
C0076,50.99,0.6793666684455261,Yes,High Risk,Low Value,High Risk / Low Value
C0077,91.41,0.7314221608116137,No,High Risk,High Value,High Risk / High Value
C0078,109.74,0.6179268324961977,Yes,High Risk,High Value,High Risk / High Value
C0079,79.5,0.6920409584038052,No,High Risk,High Value,High Risk / High Value
C0080,86.81,0.5103865445908304,No,Medium Risk,High Value,Medium Risk / High Value
C0081,109.27,0.5368106336826706,No,Medium Risk,High Value,Medium Risk / High Value
C0082,49.45,0.6260727003519373,Yes,High Risk,Low Value,High Risk / Low Value
C0083,89.88,0.43201268247264923,Yes,Medium Risk,High Value,Medium Risk / High Value
C0084,101.51,0.6281003518198154,No,High Risk,High Value,High Risk / High Value
C0085,45.07,0.5917078092803955,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0086,80.32,0.3970064479275401,Yes,Low Risk,High Value,Low Risk / High Value
C0087,93.26,0.1303562350875201,No,Low Risk,High Value,Low Risk / High Value
C0088,27.51,0.6063945780610958,No,High Risk,Low Value,High Risk / Low Value
C0089,29.16,0.6388385466159775,No,High Risk,Low Value,High Risk / Low Value
C0090,110.34,0.13193995863256588,No,Low Risk,High Value,Low Risk / High Value
C0091,89.74,0.7862891304931076,Yes,High Risk,High Value,High Risk / High Value
C0092,56.47,0.6768033465165925,No,High Risk,Low Value,High Risk / Low Value
C0093,72.02,0.5617994417081024,No,Medium Risk,High Value,Medium Risk / High Value
C0094,25.27,0.5270780937454602,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0095,20.33,0.3002086740357634,Yes,Low Risk,Low Value,Low Risk / Low Value
C0096,32.44,0.6373076130250357,No,High Risk,Low Value,High Risk / Low Value
C0097,26.5,0.3926745228377619,Yes,Low Risk,Low Value,Low Risk / Low Value
C0098,100.08,0.35417711955774883,No,Low Risk,High Value,Low Risk / High Value
C0099,42.44,0.4757732702657711,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0100,106.21,0.30321486539158776,Yes,Low Risk,High Value,Low Risk / High Value
C0101,42.02,0.5571985686757244,No,Medium Risk,Low Value,Medium Risk / Low Value
C0102,46.7,0.3513846082702053,No,Low Risk,Low Value,Low Risk / Low Value
C0103,38.92,0.2964272223316353,Yes,Low Risk,Low Value,Low Risk / Low Value
C0104,70.75,0.24101098795326212,No,Low Risk,Low Value,Low Risk / Low Value
C0105,21.84,0.48057003730499004,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0106,26.74,0.2823963466311596,No,Low Risk,Low Value,Low Risk / Low Value
C0107,22.46,0.20016913402545836,No,Low Risk,Low Value,Low Risk / Low Value
C0108,72.7,0.176194284971467,No,Low Risk,High Value,Low Risk / High Value
C0109,105.74,0.4919878046803965,Yes,Medium Risk,High Value,Medium Risk / High Value
C0110,76.28,0.4612738198124123,No,Medium Risk,High Value,Medium Risk / High Value
C0111,49.42,0.556240231595979,No,Medium Risk,Low Value,Medium Risk / Low Value
C0112,36.08,0.5526662606628309,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0113,89.5,0.6930709085861432,Yes,High Risk,High Value,High Risk / High Value
C0114,90.25,0.30045278772085543,No,Low Risk,High Value,Low Risk / High Value
C0115,40.09,0.09280585549940597,No,Low Risk,Low Value,Low Risk / Low Value
C0116,113.52,0.7217472012411159,No,High Risk,High Value,High Risk / High Value
C0117,24.08,0.6608031424396374,No,High Risk,Low Value,High Risk / Low Value
C0118,98.97,0.6968050299912967,Yes,High Risk,High Value,High Risk / High Value
C0119,61.84,0.5898631315558572,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0120,74.33,0.7469681908808649,Yes,High Risk,High Value,High Risk / High Value
C0121,41.07,0.26423259865364884,No,Low Risk,Low Value,Low Risk / Low Value
C0122,105.44,0.7203869932607393,Yes,High Risk,High Value,High Risk / High Value
C0123,85.67,0.5425869205590796,Yes,Medium Risk,High Value,Medium Risk / High Value
C0124,34.58,0.5953954318272757,No,Medium Risk,Low Value,Medium Risk / Low Value
C0125,90.54,0.552597182129116,No,Medium Risk,High Value,Medium Risk / High Value
C0126,42.47,0.20607831307448882,No,Low Risk,Low Value,Low Risk / Low Value
C0127,78.01,0.16019845669661775,No,Low Risk,High Value,Low Risk / High Value
C0128,29.39,0.421077902482641,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0129,106.46,0.23739286643573512,No,Low Risk,High Value,Low Risk / High Value
C0130,119.94,0.38703368203260724,No,Low Risk,High Value,Low Risk / High Value
C0131,100.78,0.48947010108419875,Yes,Medium Risk,High Value,Medium Risk / High Value
C0132,58.04,0.3866525474592297,No,Low Risk,Low Value,Low Risk / Low Value
C0133,74.24,0.6673481600298463,Yes,High Risk,High Value,High Risk / High Value
C0134,74.94,0.6112619333469428,Yes,High Risk,High Value,High Risk / High Value
C0135,113.44,0.4954864654371652,Yes,Medium Risk,High Value,Medium Risk / High Value
C0136,59.99,0.46676943222780387,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0137,111.78,0.5313493736666954,No,Medium Risk,High Value,Medium Risk / High Value
C0138,84.66,0.3306299382129687,No,Low Risk,High Value,Low Risk / High Value
C0139,100.95,0.35382940305293054,Yes,Low Risk,High Value,Low Risk / High Value
C0140,43.02,0.4504469859184929,No,Medium Risk,Low Value,Medium Risk / Low Value
C0141,64.58,0.2625761634375213,Yes,Low Risk,Low Value,Low Risk / Low Value
C0142,52.34,0.43452952045203425,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0143,43.08,0.26261416418123884,Yes,Low Risk,Low Value,Low Risk / Low Value
C0144,116.17,0.6950049721938769,Yes,High Risk,High Value,High Risk / High Value
C0145,43.46,0.22260981783846104,Yes,Low Risk,Low Value,Low Risk / Low Value
C0146,102.61,0.6292942853338349,Yes,High Risk,High Value,High Risk / High Value
C0147,59.7,0.550742188401387,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0148,101.74,0.6219363716042441,Yes,High Risk,High Value,High Risk / High Value
C0149,115.73,0.8747163162899987,Yes,High Risk,High Value,High Risk / High Value
C0150,59.87,0.3447236546536307,Yes,Low Risk,Low Value,Low Risk / Low Value
C0151,107.61,0.3178791501991946,No,Low Risk,High Value,Low Risk / High Value
C0152,68.46,0.6959326352560445,Yes,High Risk,Low Value,High Risk / Low Value
C0153,70.94,0.8055634562241994,No,High Risk,Low Value,High Risk / Low Value
C0154,39.46,0.5578987473099877,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0155,33.71,0.26464434133488185,No,Low Risk,Low Value,Low Risk / Low Value
C0156,69.93,0.1442769995753141,No,Low Risk,Low Value,Low Risk / Low Value
C0157,115.62,0.44909358401209976,Yes,Medium Risk,High Value,Medium Risk / High Value
C0158,102.51,0.3555919217059811,No,Low Risk,High Value,Low Risk / High Value
C0159,24.78,0.4132015919854609,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0160,114.23,0.341420439063567,Yes,Low Risk,High Value,Low Risk / High Value
C0161,82.47,0.2681276057648311,No,Low Risk,High Value,Low Risk / High Value
C0162,49.28,0.5253031593147417,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0163,57.22,0.7738186877822336,Yes,High Risk,Low Value,High Risk / Low Value
C0164,101.59,0.8354658724159169,Yes,High Risk,High Value,High Risk / High Value
C0165,37.74,0.5496789460109586,No,Medium Risk,Low Value,Medium Risk / Low Value
C0166,93.28,0.41183760660465374,No,Medium Risk,High Value,Medium Risk / High Value
C0167,20.93,0.807846225796362,Yes,High Risk,Low Value,High Risk / Low Value
C0168,38.8,0.5606490433036436,No,Medium Risk,Low Value,Medium Risk / Low Value
C0169,52.69,0.3969653940904384,Yes,Low Risk,Low Value,Low Risk / Low Value
C0170,61.26,0.5658214428861623,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0171,78.0,0.7876493464546894,Yes,High Risk,High Value,High Risk / High Value
C0172,94.59,0.4069660016757037,Yes,Medium Risk,High Value,Medium Risk / High Value
C0173,113.31,0.2152927837390434,No,Low Risk,High Value,Low Risk / High Value
C0174,76.55,0.6293354817061522,No,High Risk,High Value,High Risk / High Value
C0175,42.55,0.34263080936511114,No,Low Risk,Low Value,Low Risk / Low Value
C0176,92.95,0.5816715565594188,Yes,Medium Risk,High Value,Medium Risk / High Value
C0177,47.57,0.6182756144733816,Yes,High Risk,Low Value,High Risk / Low Value
C0178,81.97,0.403933971729004,No,Medium Risk,High Value,Medium Risk / High Value
C0179,59.34,0.39488488877898964,No,Low Risk,Low Value,Low Risk / Low Value
C0180,114.7,0.37592462193066145,No,Low Risk,High Value,Low Risk / High Value
C0181,60.4,0.5326777995668585,No,Medium Risk,Low Value,Medium Risk / Low Value
C0182,66.23,0.43434553971261675,No,Medium Risk,Low Value,Medium Risk / Low Value
C0183,45.86,0.4288056545294671,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0184,97.2,0.11976907871293521,No,Low Risk,High Value,Low Risk / High Value
C0185,64.11,0.33695896026664435,Yes,Low Risk,Low Value,Low Risk / Low Value
C0186,72.02,0.21674326894498572,Yes,Low Risk,High Value,Low Risk / High Value
C0187,56.37,0.6666074113055506,Yes,High Risk,Low Value,High Risk / Low Value
C0188,68.54,0.18794273606095224,No,Low Risk,Low Value,Low Risk / Low Value
C0189,109.03,0.35589538866631965,No,Low Risk,High Value,Low Risk / High Value
C0190,65.93,0.3274365397268072,No,Low Risk,Low Value,Low Risk / Low Value
C0191,54.79,0.6865482029735234,Yes,High Risk,Low Value,High Risk / Low Value
C0192,87.62,0.605728394804268,Yes,High Risk,High Value,High Risk / High Value
C0193,71.27,0.2155157926144586,No,Low Risk,High Value,Low Risk / High Value
C0194,76.04,0.49997049296553636,Yes,Medium Risk,High Value,Medium Risk / High Value
C0195,22.72,0.38934252472107306,No,Low Risk,Low Value,Low Risk / Low Value
C0196,82.82,0.47910556463194004,Yes,Medium Risk,High Value,Medium Risk / High Value
C0197,79.84,0.5907804890427345,Yes,Medium Risk,High Value,Medium Risk / High Value
C0198,103.82,0.4207313901388382,Yes,Medium Risk,High Value,Medium Risk / High Value
C0199,72.52,0.27497172091556427,No,Low Risk,High Value,Low Risk / High Value
C0200,54.08,0.5421633461668555,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0201,117.08,0.36696009399007495,No,Low Risk,High Value,Low Risk / High Value
C0202,110.74,0.5866029852656981,Yes,Medium Risk,High Value,Medium Risk / High Value
C0203,105.41,0.7304163322243306,Yes,High Risk,High Value,High Risk / High Value
C0204,48.46,0.33864443630343016,Yes,Low Risk,Low Value,Low Risk / Low Value
C0205,58.99,0.6781338445888636,No,High Risk,Low Value,High Risk / Low Value
C0206,20.21,0.2869594030610525,Yes,Low Risk,Low Value,Low Risk / Low Value
C0207,74.96,0.39789740862515277,No,Low Risk,High Value,Low Risk / High Value
C0208,33.89,0.5025880835725203,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0209,49.5,0.5581461033534824,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0210,62.99,0.24789611458637936,No,Low Risk,Low Value,Low Risk / Low Value
C0211,51.89,0.4253799231275074,No,Medium Risk,Low Value,Medium Risk / Low Value
C0212,54.59,0.09497821060646378,No,Low Risk,Low Value,Low Risk / Low Value
C0213,56.46,0.3835281404869684,No,Low Risk,Low Value,Low Risk / Low Value
C0214,23.9,0.2539752192978022,No,Low Risk,Low Value,Low Risk / Low Value
C0215,51.4,0.29370515319893425,No,Low Risk,Low Value,Low Risk / Low Value
C0216,35.41,0.6281067807205705,Yes,High Risk,Low Value,High Risk / Low Value
C0217,43.5,0.37389091873264263,No,Low Risk,Low Value,Low Risk / Low Value
C0218,50.05,0.4413177957777913,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0219,79.91,0.20922789190500868,No,Low Risk,High Value,Low Risk / High Value
C0220,114.91,0.30180923134250554,No,Low Risk,High Value,Low Risk / High Value
C0221,111.87,0.596102331276435,No,Medium Risk,High Value,Medium Risk / High Value
C0222,25.95,0.1532824216812509,No,Low Risk,Low Value,Low Risk / Low Value
C0223,96.26,0.43382008840824476,No,Medium Risk,High Value,Medium Risk / High Value
C0224,99.34,0.5232688220931034,No,Medium Risk,High Value,Medium Risk / High Value
C0225,113.71,0.6428674510061757,Yes,High Risk,High Value,High Risk / High Value
C0226,50.61,0.6833550686852391,Yes,High Risk,Low Value,High Risk / Low Value
C0227,90.71,0.38838142246225854,Yes,Low Risk,High Value,Low Risk / High Value
C0228,52.15,0.09937245138952841,Yes,Low Risk,Low Value,Low Risk / Low Value
C0229,64.93,0.5410482561671649,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0230,34.29,0.5160103593022518,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0231,71.11,0.4955342548482174,Yes,Medium Risk,High Value,Medium Risk / High Value
C0232,56.02,0.529490335975649,No,Medium Risk,Low Value,Medium Risk / Low Value
C0233,88.7,0.4082135399549103,Yes,Medium Risk,High Value,Medium Risk / High Value
C0234,115.08,0.2619390903403341,No,Low Risk,High Value,Low Risk / High Value
C0235,31.1,0.4574852091629258,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0236,108.02,0.8094338389750151,No,High Risk,High Value,High Risk / High Value
C0237,91.32,0.6654142176311467,Yes,High Risk,High Value,High Risk / High Value
C0238,111.11,0.705903540903527,Yes,High Risk,High Value,High Risk / High Value
C0239,24.17,0.34060174537600857,Yes,Low Risk,Low Value,Low Risk / Low Value
C0240,56.77,0.5381609194751719,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0241,74.84,0.41142624387630006,No,Medium Risk,High Value,Medium Risk / High Value
C0242,113.74,0.28549671555042,No,Low Risk,High Value,Low Risk / High Value
C0243,76.13,0.26946082014057365,Yes,Low Risk,High Value,Low Risk / High Value
C0244,110.64,0.6712960793501267,No,High Risk,High Value,High Risk / High Value
C0245,20.78,0.518933865101209,No,Medium Risk,Low Value,Medium Risk / Low Value
C0246,100.7,0.8645867525135381,Yes,High Risk,High Value,High Risk / High Value
C0247,44.2,0.15144447449805967,No,Low Risk,Low Value,Low Risk / Low Value
C0248,27.31,0.29242752507498637,No,Low Risk,Low Value,Low Risk / Low Value
C0249,36.17,0.329705220539528,No,Low Risk,Low Value,Low Risk / Low Value
C0250,20.9,0.4899094322174805,No,Medium Risk,Low Value,Medium Risk / Low Value
C0251,22.92,0.7228090102683247,Yes,High Risk,Low Value,High Risk / Low Value
C0252,59.25,0.5859686790188665,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0253,110.22,0.1978459307298761,No,Low Risk,High Value,Low Risk / High Value
C0254,78.16,0.20295573171199588,No,Low Risk,High Value,Low Risk / High Value
C0255,98.04,0.7835523653367061,Yes,High Risk,High Value,High Risk / High Value
C0256,107.95,0.5331602701083834,Yes,Medium Risk,High Value,Medium Risk / High Value
C0257,24.54,0.4413440560386747,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0258,40.36,0.83057547368651,Yes,High Risk,Low Value,High Risk / Low Value
C0259,80.96,0.3406627611147414,No,Low Risk,High Value,Low Risk / High Value
C0260,79.06,0.5069585843987132,No,Medium Risk,High Value,Medium Risk / High Value
C0261,49.66,0.46662348595957526,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0262,66.17,0.46553334995782863,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0263,31.89,0.6303967153578052,Yes,High Risk,Low Value,High Risk / Low Value
C0264,98.22,0.6519213112815786,Yes,High Risk,High Value,High Risk / High Value
C0265,62.96,0.490236705336387,No,Medium Risk,Low Value,Medium Risk / Low Value
C0266,82.5,0.5809829017398028,No,Medium Risk,High Value,Medium Risk / High Value
C0267,50.68,0.6738432219308688,Yes,High Risk,Low Value,High Risk / Low Value
C0268,27.21,0.2897911720228233,No,Low Risk,Low Value,Low Risk / Low Value
C0269,47.63,0.689171777844655,Yes,High Risk,Low Value,High Risk / Low Value
C0270,71.97,0.6860261678590132,No,High Risk,High Value,High Risk / High Value
C0271,112.55,0.7561976437124687,No,High Risk,High Value,High Risk / High Value
C0272,90.66,0.26293776510015354,No,Low Risk,High Value,Low Risk / High Value
C0273,108.3,0.34344362435216585,No,Low Risk,High Value,Low Risk / High Value
C0274,92.57,0.7308000218133752,Yes,High Risk,High Value,High Risk / High Value
C0275,45.87,0.6013837574397042,Yes,High Risk,Low Value,High Risk / Low Value
C0276,107.75,0.47692251312288236,Yes,Medium Risk,High Value,Medium Risk / High Value
C0277,87.29,0.3115621650372824,No,Low Risk,High Value,Low Risk / High Value
C0278,118.77,0.6124991086523185,No,High Risk,High Value,High Risk / High Value
C0279,98.74,0.7301752509166046,Yes,High Risk,High Value,High Risk / High Value
C0280,64.39,0.466341503389891,No,Medium Risk,Low Value,Medium Risk / Low Value
C0281,46.02,0.21391093171110734,No,Low Risk,Low Value,Low Risk / Low Value
C0282,50.98,0.5918028717341847,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0283,52.67,0.2751861175967467,Yes,Low Risk,Low Value,Low Risk / Low Value
C0284,87.69,0.35564448301921114,No,Low Risk,High Value,Low Risk / High Value
C0285,94.06,0.7945701267052142,No,High Risk,High Value,High Risk / High Value
C0286,78.21,0.2770407742440079,No,Low Risk,High Value,Low Risk / High Value
C0287,62.89,0.7974971935356703,Yes,High Risk,Low Value,High Risk / Low Value
C0288,31.72,0.22069874170219136,No,Low Risk,Low Value,Low Risk / Low Value
C0289,99.28,0.5731026814103973,Yes,Medium Risk,High Value,Medium Risk / High Value
C0290,102.14,0.1689529252897024,No,Low Risk,High Value,Low Risk / High Value
C0291,58.78,0.7189941187474629,No,High Risk,Low Value,High Risk / Low Value
C0292,65.05,0.13023236295788423,No,Low Risk,Low Value,Low Risk / Low Value
C0293,57.45,0.16970566234857998,Yes,Low Risk,Low Value,Low Risk / Low Value
C0294,24.87,0.6611060261362981,Yes,High Risk,Low Value,High Risk / Low Value
C0295,58.66,0.16297481609121267,No,Low Risk,Low Value,Low Risk / Low Value
C0296,67.39,0.3877878405021832,No,Low Risk,Low Value,Low Risk / Low Value
C0297,27.7,0.5260116149436265,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0298,52.45,0.25000801773526554,No,Low Risk,Low Value,Low Risk / Low Value
C0299,98.67,0.36671213933026026,Yes,Low Risk,High Value,Low Risk / High Value
C0300,105.81,0.6394282264982667,No,High Risk,High Value,High Risk / High Value
C0301,116.73,0.4788123464467127,Yes,Medium Risk,High Value,Medium Risk / High Value
C0302,22.24,0.7677705667926895,No,High Risk,Low Value,High Risk / Low Value
C0303,23.89,0.3363644336815427,No,Low Risk,Low Value,Low Risk / Low Value
C0304,90.74,0.5894832340664831,Yes,Medium Risk,High Value,Medium Risk / High Value
C0305,84.95,0.3748869737143054,Yes,Low Risk,High Value,Low Risk / High Value
C0306,25.44,0.5073080578725814,No,Medium Risk,Low Value,Medium Risk / Low Value
C0307,114.87,0.6418691674387783,Yes,High Risk,High Value,High Risk / High Value
C0308,108.16,0.34717166421716655,Yes,Low Risk,High Value,Low Risk / High Value
C0309,111.57,0.5852990295984992,No,Medium Risk,High Value,Medium Risk / High Value
C0310,41.62,0.6563187315984069,No,High Risk,Low Value,High Risk / Low Value
C0311,109.19,0.5792358076639662,Yes,Medium Risk,High Value,Medium Risk / High Value
C0312,72.99,0.40429490023415393,Yes,Medium Risk,High Value,Medium Risk / High Value
C0313,56.56,0.14775895323077515,Yes,Low Risk,Low Value,Low Risk / Low Value
C0314,50.24,0.6937230972607357,Yes,High Risk,Low Value,High Risk / Low Value
C0315,118.42,0.7832227060618475,No,High Risk,High Value,High Risk / High Value
C0316,24.5,0.71208680242518,Yes,High Risk,Low Value,High Risk / Low Value
C0317,85.81,0.31015427748618696,No,Low Risk,High Value,Low Risk / High Value
C0318,77.93,0.49557535802673,No,Medium Risk,High Value,Medium Risk / High Value
C0319,41.87,0.4301898029127774,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0320,28.7,0.7392561372248849,Yes,High Risk,Low Value,High Risk / Low Value
C0321,82.35,0.25370963052511236,No,Low Risk,High Value,Low Risk / High Value
C0322,40.75,0.7190132510684664,Yes,High Risk,Low Value,High Risk / Low Value
C0323,96.94,0.2794088798947103,No,Low Risk,High Value,Low Risk / High Value
C0324,70.13,0.5902989562177792,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0325,92.46,0.6827213797955477,Yes,High Risk,High Value,High Risk / High Value
C0326,75.65,0.8422237334549002,No,High Risk,High Value,High Risk / High Value
C0327,53.22,0.6561877327091429,No,High Risk,Low Value,High Risk / Low Value
C0328,111.29,0.7015440765390261,Yes,High Risk,High Value,High Risk / High Value
C0329,46.1,0.6181421090026276,Yes,High Risk,Low Value,High Risk / Low Value
C0330,35.05,0.4602053117405914,No,Medium Risk,Low Value,Medium Risk / Low Value
C0331,31.48,0.5457026148149099,No,Medium Risk,Low Value,Medium Risk / Low Value
C0332,89.11,0.631553995147958,Yes,High Risk,High Value,High Risk / High Value
C0333,114.99,0.543537460214801,No,Medium Risk,High Value,Medium Risk / High Value
C0334,30.59,0.36024071607604274,No,Low Risk,Low Value,Low Risk / Low Value
C0335,27.57,0.5538279547218632,Yes,Medium Risk,Low Value,Medium Risk / Low Value
C0336,76.8,0.659729594177613,Yes,High Risk,High Value,High Risk / High Value
C0337,89.2,0.5875616199203972,Yes,Medium Risk,High Value,Medium Risk / High Value
C0338,25.18,0.6440455507486577,Yes,High Risk,Low Value,High Risk / Low Value
C0339,98.15,0.1545017739435729,No,Low Risk,High Value,Low Risk / High Value
