customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract_type,monthly_charges,total_charges,payment_method,internet_service,tech_support,online_security,paperless_billing,churn
C0062,Male,0,No,No,19,Month-to-month,93.62,1778.78,Mailed check,Fiber optic,No,No,Yes,Yes
C0063,Male,0,Yes,Yes,50,Month-to-month,74.86,3743.0,Bank transfer,Fiber optic,Yes,No,Yes,Yes
C0064,Female,0,Yes,Yes,35,Month-to-month,112.95,3953.25,Electronic check,No,No,Yes,No,No
C0065,Female,0,No,No,60,Two year,33.98,2038.8,Electronic check,Fiber optic,Yes,Yes,Yes,No
C0066,Male,0,Yes,Yes,42,Month-to-month,101.66,4269.72,Bank transfer,Fiber optic,Yes,No,Yes,Yes
C0067,Male,0,No,No,66,Month-to-month,110.65,7302.9,Credit card,Fiber optic,Yes,No,No,Yes
C0068,Male,0,Yes,No,27,One year,35.17,949.59,Mailed check,DSL,Yes,No,Yes,No
C0069,Male,0,Yes,No,13,Month-to-month,104.65,1360.45,Bank transfer,DSL,Yes,No,Yes,No
C0070,Female,0,No,No,36,Month-to-month,45.18,1626.48,Credit card,DSL,Yes,No,Yes,No
C0071,Male,1,No,No,62,Month-to-month,45.6,2827.2,Electronic check,Fiber optic,No,Yes,No,Yes
C0072,Male,0,No,Yes,9,Month-to-month,93.64,842.76,Electronic check,No,No,No,Yes,Yes
C0073,Male,0,Yes,No,54,Month-to-month,79.13,4273.02,Electronic check,Fiber optic,Yes,Yes,No,No
C0074,Female,0,Yes,No,38,Month-to-month,54.7,2078.6,Bank transfer,Fiber optic,No,Yes,Yes,Yes
C0075,Female,0,No,No,33,Month-to-month,78.06,2575.98,Credit card,Fiber optic,Yes,No,Yes,Yes
C0076,Female,0,Yes,No,49,Month-to-month,50.99,2498.51,Mailed check,Fiber optic,No,No,Yes,Yes
C0077,Male,0,Yes,No,18,Month-to-month,91.41,1645.38,Bank transfer,Fiber optic,No,No,Yes,No
C0078,Male,0,Yes,No,32,Month-to-month,109.74,3511.68,Bank transfer,Fiber optic,No,No,No,Yes
C0079,Female,0,No,No,59,Month-to-month,79.5,4690.5,Credit card,DSL,No,No,Yes,No
C0080,Male,0,Yes,Yes,16,Month-to-month,86.81,1388.96,Bank transfer,DSL,Yes,No,Yes,No
C0081,Female,0,No,No,29,Month-to-month,109.27,3168.83,Bank transfer,No,Yes,Yes,Yes,No
C0082,Male,1,Yes,No,9,Month-to-month,49.45,445.05,Credit card,No,No,Yes,No,Yes
C0083,Male,0,Yes,No,14,One year,89.88,1258.32,Mailed check,Fiber optic,Yes,No,Yes,Yes
C0084,Male,0,No,Yes,18,Month-to-month,101.51,1827.18,Credit card,Fiber optic,Yes,No,Yes,No
C0085,Female,0,No,No,6,One year,45.07,270.42,Electronic check,Fiber optic,No,No,No,Yes
C0086,Female,0,No,No,65,Month-to-month,80.32,5220.8,Electronic check,DSL,Yes,Yes,Yes,Yes
C0087,Female,0,Yes,No,24,Two year,93.26,2238.24,Bank transfer,DSL,Yes,Yes,Yes,No
C0088,Female,0,No,No,66,Month-to-month,27.51,1815.66,Bank transfer,Fiber optic,No,No,Yes,No
C0089,Female,0,No,No,12,Month-to-month,29.16,349.92,Bank transfer,No,Yes,No,Yes,No
C0090,Female,0,Yes,No,70,Two year,110.34,7723.8,Credit card,Fiber optic,No,Yes,No,No
C0091,Female,0,No,No,7,Month-to-month,89.74,628.18,Mailed check,DSL,No,No,No,Yes
C0092,Female,0,No,No,17,One year,56.47,959.99,Mailed check,Fiber optic,No,No,Yes,No
C0093,Female,0,Yes,Yes,25,One year,72.02,1800.5,Mailed check,Fiber optic,No,No,Yes,No
C0094,Male,1,No,Yes,39,Month-to-month,25.27,985.53,Credit card,DSL,Yes,No,Yes,Yes
C0095,Male,0,Yes,No,5,One year,20.33,101.65,Electronic check,Fiber optic,Yes,No,No,Yes
C0096,Female,1,No,No,49,Month-to-month,32.44,1589.56,Bank transfer,No,No,Yes,Yes,No
C0097,Male,0,No,No,25,One year,26.5,662.5,Mailed check,Fiber optic,No,Yes,No,Yes
C0098,Female,0,No,No,3,Two year,100.08,300.24,Electronic check,Fiber optic,Yes,No,Yes,No
C0099,Female,0,No,Yes,3,Two year,42.44,127.32,Mailed check,DSL,No,No,Yes,Yes
C0100,Male,0,No,Yes,67,Two year,106.21,7116.07,Credit card,No,No,No,Yes,Yes
C0101,Female,0,Yes,No,18,Month-to-month,42.02,756.36,Credit card,Fiber optic,Yes,No,Yes,No
C0102,Male,0,Yes,No,40,One year,46.7,1868.0,Bank transfer,No,No,No,No,No
C0103,Male,0,Yes,Yes,63,One year,38.92,2451.96,Mailed check,No,No,No,No,Yes
C0104,Female,0,No,No,2,Two year,70.75,141.5,Electronic check,DSL,Yes,No,No,No
C0105,Female,0,No,Yes,70,Month-to-month,21.84,1528.8,Electronic check,Fiber optic,No,Yes,Yes,Yes
C0106,Female,1,Yes,No,64,One year,26.74,1711.36,Mailed check,Fiber optic,Yes,No,Yes,No
C0107,Male,0,No,Yes,52,One year,22.46,1167.92,Mailed check,DSL,Yes,No,No,No
C0108,Female,0,Yes,No,13,Two year,72.7,945.1,Credit card,No,Yes,No,No,No
C0109,Male,1,Yes,No,21,Two year,105.74,2220.54,Mailed check,No,No,No,Yes,Yes
C0110,Female,0,Yes,No,25,One year,76.28,1907.0,Electronic check,Fiber optic,No,Yes,Yes,No
C0111,Female,0,Yes,No,3,One year,49.42,148.26,Mailed check,No,No,Yes,Yes,No
C0112,Female,0,No,No,38,Month-to-month,36.08,1371.04,Credit card,Fiber optic,Yes,No,Yes,Yes
C0113,Female,0,No,No,38,Month-to-month,89.5,3401.0,Credit card,No,No,Yes,Yes,Yes
C0114,Female,1,No,Yes,54,One year,90.25,4873.5,Electronic check,Fiber optic,Yes,Yes,Yes,No
C0115,Male,0,Yes,No,66,Two year,40.09,2645.94,Credit card,Fiber optic,No,Yes,No,No
C0116,Female,0,No,No,32,Month-to-month,113.52,3632.64,Bank transfer,No,No,No,No,No
C0117,Male,0,Yes,No,26,Month-to-month,24.08,626.08,Credit card,DSL,No,No,Yes,No
C0118,Male,0,No,No,45,Month-to-month,98.97,4453.65,Mailed check,Fiber optic,No,No,No,Yes
C0119,Female,0,No,No,35,Month-to-month,61.84,2164.4,Mailed check,DSL,No,Yes,No,Yes
C0120,Male,1,No,No,20,Month-to-month,74.33,1486.6,Credit card,Fiber optic,No,Yes,Yes,Yes
C0121,Female,0,No,Yes,58,Two year,41.07,2382.06,Credit card,Fiber optic,No,No,Yes,No
C0122,Female,0,No,No,2,Month-to-month,105.44,210.88,Credit card,Fiber optic,Yes,No,Yes,Yes
C0123,Female,0,No,Yes,28,Month-to-month,85.67,2398.76,Bank transfer,DSL,No,Yes,No,Yes
C0124,Male,0,Yes,No,10,One year,34.58,345.8,Mailed check,Fiber optic,No,No,Yes,No
C0125,Male,0,No,Yes,37,One year,90.54,3349.98,Credit card,Fiber optic,No,No,Yes,No
C0126,Male,0,Yes,No,29,One year,42.47,1231.63,Credit card,DSL,Yes,Yes,Yes,No
C0127,Female,0,Yes,Yes,50,Two year,78.01,3900.5,Bank transfer,DSL,No,Yes,Yes,No
C0128,Female,0,Yes,No,8,Two year,29.39,235.12,Mailed check,Fiber optic,No,No,Yes,Yes
C0129,Female,0,No,No,17,Two year,106.46,1809.82,Electronic check,Fiber optic,Yes,No,No,No
C0130,Female,0,Yes,No,62,One year,119.94,7436.28,Electronic check,DSL,No,No,No,No
C0131,Male,0,Yes,Yes,4,One year,100.78,403.12,Credit card,Fiber optic,No,No,No,Yes
C0132,Female,0,Yes,Yes,71,One year,58.04,4120.84,Mailed check,Fiber optic,No,No,Yes,No
C0133,Male,0,No,No,46,Month-to-month,74.24,3415.04,Electronic check,No,No,No,No,Yes
C0134,Male,0,Yes,Yes,15,Month-to-month,74.94,1124.1,Bank transfer,Fiber optic,No,No,No,Yes
C0135,Male,0,Yes,No,51,Month-to-month,113.44,5785.44,Credit card,Fiber optic,Yes,No,Yes,Yes
C0136,Male,0,Yes,Yes,36,One year,59.99,2159.64,Credit card,No,No,No,Yes,Yes
C0137,Female,0,Yes,Yes,42,Month-to-month,111.78,4694.76,Electronic check,Fiber optic,Yes,No,Yes,No
C0138,Female,0,Yes,No,9,One year,84.66,761.94,Electronic check,DSL,Yes,No,No,No
C0139,Male,0,No,No,60,One year,100.95,6057.0,Electronic check,Fiber optic,Yes,No,Yes,Yes
C0140,Male,0,No,Yes,48,Month-to-month,43.02,2064.96,Electronic check,DSL,No,Yes,No,No
C0141,Male,0,No,No,67,Month-to-month,64.58,4326.86,Credit card,Fiber optic,Yes,Yes,No,Yes
C0142,Male,0,No,Yes,36,Month-to-month,52.34,1884.24,Mailed check,DSL,Yes,Yes,Yes,Yes
C0143,Female,0,No,No,50,One year,43.08,2154.0,Mailed check,Fiber optic,Yes,Yes,Yes,Yes
C0144,Female,0,No,Yes,44,Month-to-month,116.17,5111.48,Mailed check,Fiber optic,No,Yes,Yes,Yes
C0145,Female,0,No,No,3,Two year,43.46,130.38,Credit card,Fiber optic,Yes,No,No,Yes
C0146,Male,0,Yes,Yes,32,Month-to-month,102.61,3283.52,Mailed check,Fiber optic,No,Yes,Yes,Yes
C0147,Female,0,No,No,65,Month-to-month,59.7,3880.5,Bank transfer,Fiber optic,No,No,No,Yes
C0148,Male,0,No,Yes,49,Month-to-month,101.74,4985.26,Credit card,Fiber optic,No,No,No,Yes
C0149,Female,1,No,Yes,2,Month-to-month,115.73,231.46,Electronic check,Fiber optic,No,No,Yes,Yes
C0150,Female,0,Yes,No,52,Month-to-month,59.87,3113.24,Electronic check,DSL,Yes,Yes,Yes,Yes
C0151,Male,0,Yes,No,13,Two year,107.61,1398.93,Mailed check,DSL,No,Yes,Yes,No
C0152,Female,0,Yes,No,10,Month-to-month,68.46,684.6,Electronic check,Fiber optic,No,Yes,Yes,Yes
C0153,Male,0,No,No,16,Month-to-month,70.94,1135.04,Credit card,No,No,No,Yes,No
C0154,Male,1,Yes,No,63,Month-to-month,39.46,2485.98,Mailed check,Fiber optic,No,No,No,Yes
C0155,Female,0,Yes,No,21,One year,33.71,707.91,Electronic check,Fiber optic,Yes,Yes,Yes,No
C0156,Male,0,No,No,60,One year,69.93,4195.8,Credit card,DSL,Yes,Yes,No,No
C0157,Female,0,Yes,Yes,38,Month-to-month,115.62,4393.56,Mailed check,DSL,Yes,No,No,Yes
C0158,Male,0,No,No,60,One year,102.51,6150.6,Electronic check,Fiber optic,Yes,No,Yes,No
C0159,Female,0,Yes,No,65,Month-to-month,24.78,1610.7,Bank transfer,DSL,No,No,No,Yes
C0160,Male,0,No,No,11,Two year,114.23,1256.53,Mailed check,Fiber optic,Yes,No,Yes,Yes
C0161,Female,0,Yes,No,8,One year,82.47,659.76,Mailed check,Fiber optic,Yes,Yes,No,No
C0162,Male,0,No,Yes,10,One year,49.28,492.8,Credit card,No,No,No,No,Yes
C0163,Female,1,No,Yes,18,Month-to-month,57.22,1029.96,Mailed check,Fiber optic,No,No,No,Yes
C0164,Female,0,No,No,21,Month-to-month,101.59,2133.39,Electronic check,No,No,No,Yes,Yes
C0165,Male,0,Yes,No,23,One year,37.74,868.02,Mailed check,Fiber optic,No,No,Yes,No
C0166,Male,0,No,No,23,Two year,93.28,2145.44,Bank transfer,Fiber optic,No,No,Yes,No
C0167,Female,1,No,Yes,8,Month-to-month,20.93,167.44,Credit card,DSL,No,No,Yes,Yes
C0168,Female,0,No,No,46,One year,38.8,1784.8,Mailed check,Fiber optic,No,No,Yes,No
C0169,Female,0,No,No,53,Month-to-month,52.69,2792.57,Credit card,DSL,Yes,No,No,Yes
C0170,Female,0,Yes,No,26,Month-to-month,61.26,1592.76,Electronic check,Fiber optic,Yes,No,Yes,Yes
C0171,Male,0,No,No,3,Month-to-month,78.0,234.0,Mailed check,Fiber optic,No,No,No,Yes
C0172,Male,0,Yes,No,22,One year,94.59,2080.98,Electronic check,No,Yes,No,Yes,Yes
C0173,Male,0,Yes,No,47,Two year,113.31,5325.57,Bank transfer,Fiber optic,No,No,No,No
C0174,Male,0,Yes,No,16,Month-to-month,76.55,1224.8,Mailed check,No,Yes,No,Yes,No
C0175,Female,0,No,No,42,Two year,42.55,1787.1,Credit card,Fiber optic,No,No,Yes,No
C0176,Female,1,Yes,No,35,Month-to-month,92.95,3253.25,Bank transfer,Fiber optic,Yes,No,Yes,Yes
C0177,Male,0,Yes,Yes,30,Month-to-month,47.57,1427.1,Bank transfer,DSL,No,No,Yes,Yes
C0178,Male,1,No,No,56,Month-to-month,81.97,4590.32,Mailed check,Fiber optic,Yes,Yes,No,No
C0179,Male,0,Yes,No,15,Two year,59.34,890.1,Electronic check,No,No,No,Yes,No
C0180,Male,0,Yes,No,19,Month-to-month,114.7,2179.3,Bank transfer,No,Yes,Yes,No,No
C0181,Male,0,Yes,No,61,Month-to-month,60.4,3684.4,Mailed check,Fiber optic,No,No,No,No
C0182,Female,0,Yes,No,57,One year,66.23,3775.11,Credit card,Fiber optic,No,No,Yes,No
C0183,Female,0,Yes,No,49,Month-to-month,45.86,2247.14,Credit card,DSL,Yes,No,Yes,Yes
C0184,Female,0,Yes,Yes,40,Two year,97.2,3888.0,Electronic check,DSL,Yes,No,No,No
C0185,Male,0,Yes,No,50,Month-to-month,64.11,3205.5,Electronic check,DSL,Yes,Yes,Yes,Yes
C0186,Female,1,No,Yes,48,Two year,72.02,3456.96,Electronic check,Fiber optic,No,Yes,No,Yes
C0187,Male,0,No,Yes,1,Month-to-month,56.37,56.37,Mailed check,Fiber optic,No,Yes,No,Yes
C0188,Male,0,Yes,Yes,16,Two year,68.54,1096.64,Mailed check,DSL,No,Yes,No,No
C0189,Female,1,No,No,68,One year,109.03,7414.04,Credit card,DSL,No,Yes,No,No
C0190,Female,0,No,No,66,Two year,65.93,4351.38,Mailed check,Fiber optic,No,No,Yes,No
C0191,Male,0,No,No,35,Month-to-month,54.79,1917.65,Mailed check,Fiber optic,No,No,No,Yes
C0192,Male,0,Yes,No,33,Month-to-month,87.62,2891.46,Electronic check,DSL,No,Yes,Yes,Yes
C0193,Male,0,No,No,67,One year,71.27,4775.09,Mailed check,DSL,Yes,Yes,Yes,No
C0194,Female,0,Yes,No,6,One year,76.04,456.24,Credit card,DSL,No,No,No,Yes
C0195,Male,0,Yes,No,25,Month-to-month,22.72,568.0,Bank transfer,No,Yes,No,No,No
C0196,Male,0,No,Yes,63,One year,82.82,5217.66,Electronic check,Fiber optic,No,No,Yes,Yes
C0197,Female,1,No,No,52,Month-to-month,79.84,4151.68,Credit card,DSL,Yes,No,Yes,Yes
C0198,Male,0,Yes,Yes,55,Month-to-month,103.82,5710.1,Electronic check,DSL,No,Yes,No,Yes
C0199,Female,0,Yes,Yes,33,One year,72.52,2393.16,Credit card,DSL,No,Yes,No,No
C0200,Female,0,No,No,47,Month-to-month,54.08,2541.76,Electronic check,DSL,Yes,No,Yes,Yes
C0201,Female,0,No,No,22,One year,117.08,2575.76,Credit card,DSL,Yes,No,No,No
C0202,Female,0,Yes,No,12,One year,110.74,1328.88,Bank transfer,DSL,No,No,Yes,Yes
C0203,Female,0,Yes,Yes,13,Month-to-month,105.41,1370.33,Bank transfer,DSL,No,No,Yes,Yes
C0204,Male,0,Yes,Yes,9,Two year,48.46,436.14,Bank transfer,No,No,No,Yes,Yes
C0205,Female,0,Yes,No,46,Month-to-month,58.99,2713.54,Electronic check,Fiber optic,No,No,Yes,No
C0206,Female,0,No,No,8,Two year,20.21,161.68,Mailed check,Fiber optic,No,Yes,No,Yes
C0207,Male,0,Yes,No,19,One year,74.96,1424.24,Mailed check,No,No,Yes,No,No
C0208,Female,1,No,No,10,Month-to-month,33.89,338.9,Electronic check,DSL,Yes,Yes,No,Yes
C0209,Male,0,Yes,No,41,Month-to-month,49.5,2029.5,Electronic check,Fiber optic,No,Yes,Yes,Yes
C0210,Female,0,No,No,21,One year,62.99,1322.79,Credit card,Fiber optic,Yes,Yes,No,No
C0211,Male,0,No,Yes,41,Month-to-month,51.89,2127.49,Electronic check,Fiber optic,Yes,No,No,No
C0212,Male,0,Yes,No,37,Two year,54.59,2019.83,Bank transfer,DSL,Yes,No,No,No
C0213,Male,1,No,Yes,64,One year,56.46,3613.44,Electronic check,DSL,No,No,No,No
C0214,Male,0,Yes,Yes,45,Month-to-month,23.9,1075.5,Bank transfer,DSL,Yes,Yes,Yes,No
C0215,Male,0,No,No,37,Two year,51.4,1901.8,Electronic check,No,No,No,No,No
C0216,Male,0,No,Yes,22,Month-to-month,35.41,779.02,Bank transfer,Fiber optic,No,No,No,Yes
C0217,Female,0,Yes,No,46,One year,43.5,2001.0,Electronic check,No,No,Yes,Yes,No
C0218,Female,0,Yes,No,17,One year,50.05,850.85,Credit card,DSL,No,No,No,Yes
C0219,Male,0,Yes,No,64,One year,79.91,5114.24,Bank transfer,Fiber optic,No,Yes,No,No
C0220,Female,0,No,No,12,Two year,114.91,1378.92,Bank transfer,Fiber optic,Yes,No,Yes,No
C0221,Male,0,Yes,No,15,One year,111.87,1678.05,Credit card,Fiber optic,No,No,Yes,No
C0222,Male,1,Yes,Yes,48,Two year,25.95,1245.6,Bank transfer,DSL,No,Yes,Yes,No
C0223,Male,0,No,No,31,One year,96.26,2984.06,Credit card,No,Yes,No,Yes,No
C0224,Male,0,Yes,No,56,Month-to-month,99.34,5563.04,Mailed check,No,Yes,No,Yes,No
C0225,Female,0,Yes,No,37,Month-to-month,113.71,4207.27,Bank transfer,No,No,No,No,Yes
C0226,Female,1,Yes,No,30,Month-to-month,50.61,1518.3,Electronic check,Fiber optic,No,No,No,Yes
C0227,Female,1,Yes,No,34,One year,90.71,3084.14,Credit card,DSL,Yes,No,Yes,Yes
C0228,Female,0,Yes,No,55,Two year,52.15,2868.25,Electronic check,Fiber optic,Yes,No,No,Yes
C0229,Female,0,No,No,55,Month-to-month,64.93,3571.15,Mailed check,Fiber optic,No,Yes,No,Yes
C0230,Female,0,Yes,Yes,30,Month-to-month,34.29,1028.7,Mailed check,Fiber optic,Yes,No,Yes,Yes
C0231,Male,0,No,Yes,57,Month-to-month,71.11,4053.27,Mailed check,DSL,Yes,No,Yes,Yes
C0232,Female,1,Yes,No,28,Month-to-month,56.02,1568.56,Bank transfer,DSL,No,Yes,No,No
C0233,Male,0,Yes,No,51,Month-to-month,88.7,4523.7,Mailed check,Fiber optic,Yes,No,No,Yes
C0234,Female,1,Yes,No,24,One year,115.08,2761.92,Credit card,Fiber optic,Yes,Yes,No,No
C0235,Female,0,Yes,No,41,Month-to-month,31.1,1275.1,Electronic check,Fiber optic,No,Yes,No,Yes
C0236,Female,1,No,No,38,Month-to-month,108.02,4104.76,Credit card,DSL,No,No,Yes,No
C0237,Female,0,No,No,44,Month-to-month,91.32,4018.08,Electronic check,DSL,No,Yes,Yes,Yes
C0238,Female,0,Yes,No,46,Month-to-month,111.11,5111.06,Bank transfer,No,No,No,Yes,Yes
C0239,Female,0,No,No,43,Two year,24.17,1039.31,Electronic check,Fiber optic,No,No,Yes,Yes
C0240,Female,0,No,No,59,Month-to-month,56.77,3349.43,Bank transfer,DSL,No,Yes,Yes,Yes
C0241,Male,0,No,Yes,43,One year,74.84,3218.12,Bank transfer,No,No,No,No,No
C0242,Female,1,Yes,Yes,67,One year,113.74,7620.58,Credit card,Fiber optic,No,Yes,No,No
C0243,Male,0,No,No,50,One year,76.13,3806.5,Electronic check,Fiber optic,Yes,No,No,Yes
C0244,Male,0,No,No,53,Month-to-month,110.64,5863.92,Mailed check,DSL,No,No,No,No
C0245,Male,0,No,No,26,Month-to-month,20.78,540.28,Bank transfer,Fiber optic,No,Yes,No,No
C0246,Male,1,No,Yes,6,Month-to-month,100.7,604.2,Mailed check,Fiber optic,No,No,Yes,Yes
C0247,Male,1,No,No,50,Two year,44.2,2210.0,Credit card,No,Yes,No,No,No
C0248,Male,0,Yes,No,18,One year,27.31,491.58,Bank transfer,Fiber optic,No,Yes,No,No
C0249,Female,0,No,No,34,One year,36.17,1229.78,Bank transfer,Fiber optic,No,Yes,No,No
C0250,Female,0,No,No,44,Month-to-month,20.9,919.6,Credit card,Fiber optic,No,Yes,No,No
C0251,Female,1,No,No,22,Month-to-month,22.92,504.24,Credit card,Fiber optic,No,Yes,Yes,Yes
C0252,Female,0,Yes,Yes,71,Month-to-month,59.25,4206.75,Mailed check,Fiber optic,No,No,Yes,Yes
C0253,Female,0,No,No,68,Two year,110.22,7494.96,Electronic check,No,No,Yes,No,No
C0254,Male,0,Yes,No,41,Two year,78.16,3204.56,Bank transfer,Fiber optic,No,No,No,No
C0255,Female,0,No,No,5,Month-to-month,98.04,490.2,Electronic check,Fiber optic,No,Yes,Yes,Yes
C0256,Female,0,No,No,68,Month-to-month,107.95,7340.6,Credit card,Fiber optic,Yes,No,Yes,Yes
C0257,Female,0,Yes,Yes,57,Month-to-month,24.54,1398.78,Electronic check,DSL,No,Yes,Yes,Yes
C0258,Female,1,No,No,10,Month-to-month,40.36,403.6,Credit card,DSL,No,No,Yes,Yes
C0259,Female,0,Yes,No,69,One year,80.96,5586.24,Electronic check,No,No,Yes,Yes,No
